#{"t_start": 1761574197.8019698, "env_id": "None"}
r,l,t
507.59952,1000,5589.261838
804.2636,1000,5589.527832
817.8672,1000,5597.405242
426.8092,1000,5598.001416
265.32013,1000,5598.210948
874.4597,1000,5598.536366
870.7048,1000,5601.761136
637.23596,1000,5614.021321
298.57166,1000,5615.581095
643.4308,1000,5615.836226
846.3791,1000,5674.274777
40.00142,1000,5675.243265
867.75183,1000,5675.460518
823.6168,1000,5675.835826
892.46234,1000,5677.206567
875.27686,1000,5688.563055
183.43494,1000,5690.191525
190.90408,1000,5690.617552
740.1271,1000,5699.762386
320.41635,1000,5700.358639
99.23068,1000,5700.556786
581.01483,1000,5700.860733
870.30304,1000,5704.0806
802.10284,1000,5716.713575
846.9493,1000,5718.500639
886.2139,1000,5719.019792
